Store No,Store Name,Survey Count,Dissatisfaction %,Inaccurate Order %,Greeted with Smile %
79,Plantation,644,2.0185999999999997,0.9554,
183,Margate-Atlantic,299,7.6923,4.8611,
205,Lauderhill-Oakland Park,179,2.7933,1.7442,
346,Miami-Old Cutler Rd,163,6.7485,2.5806,
420,Deerfield Beach,193,8.8083,2.7624,
871,Florida City-Dixie Hwy,165,7.8788,1.8987,
883,Hallandale Beach-W Hallandale Beach Blvd,289,0.346,0.7117,
1096,Tamarac-N. University Drive,280,5.0,3.2967000000000004,
1167,Pembroke Pines-Pines Blvd,128,15.625,5.4545,
1252,Fort Lauderdale-W. Broward Blvd.,310,7.0968,4.6823,
1677,Palmetto Bay- SW 160th St.,107,2.8037,0.9615,
1726,Fort Lauderdale-E. Commercial Blvd,191,4.1884999999999994,3.2258,
1771,Miami-SW 152nd St,311,2.8939,1.6393000000000002,
1841,Ft Lauderdale-S Federal Hwy,119,4.2017,6.1947,
1847,Pompano Beach-N. Federal Hwy,158,6.962,3.3556999999999997,
1848,Miami-SW 107th Ave,121,2.4793,0.8403,
1864,Hialeah Gardens-W 33rd Ave,148,4.7297,3.4965,
1891,Miami-SW 137th Ave,122,2.459,0.9008999999999999,
1954,Miami-N Kendall Dr,173,2.8902,1.8182,
1972,Miami-Bird Road,190,6.3158,3.3333000000000004,
2013,Palm Springs-S Congress Ave,81,2.4691,1.3157999999999999,
2042,Miami-W Flagler St,95,0.0,1.0753000000000001,
2048,Coral Springs-Wiles Rd,203,7.3892,3.2086000000000006,
2118,Naranja-S. Dixie Hwy,257,4.2802,2.8112000000000004,
2290,Pembroke Pines-N. Flamingo Rd,155,10.967699999999999,2.7778,
2497,Royal Palm Beach,175,6.285699999999999,1.2047999999999999,
2602,Doral-NW 58th St.,66,1.5152,1.6667,
2627,Hialeah-Hialeah Dr.,98,5.102,5.1546,
2696,West Palm Beach-Okeechobee Blvd,173,1.1561,2.3810000000000002,
2766,Miami-SW 40th St.,250,3.2,0.8264,
2885,Lantana-W. Lantana Rd,85,7.0588,3.75,
2890,Miami-NW 199th St.,147,10.2041,6.802700000000001,
2893,Miami-NE Miami Ct. - GK,32,56.25,22.7273,
2974,Delray Beach-Linton Blvd,189,10.581999999999999,7.8652,
2976,Weston-Indian Trace,130,6.1538,3.3333000000000004,
3013,Miami-Quail Roost Dr,113,2.6549,0.9346,
3200,Jupiter-E Indiantown Rd,180,11.6667,5.0633,
3317,Boca Raton-Glades Road,7,0.0,0.0,
4032,Miami-NW 7th St.,182,3.2967000000000004,1.6667,
