Period,Store No,Store Name,NBO Actual %,Food Theoretical %,NBO Variance %,COGS Actual %,COGS Variance %
P2,871,Florida City,31.67,31.85,-0.18,31.2,-0.65
P2,883,Hallandale Beach,32.71,32.03,0.68,31.6,-0.43
P3,1096,Tamarac,32.95,31.65,1.29,30.41,-1.24
P3,1167,Pembroke Pines Pines Blvd,32.52,31.58,0.93,28.68,-2.9
P3,1252,Fort Lauderdale Broward Blvd,32.02,31.71,0.31,28.48,-3.23
P3,1677,Palmetto Bay SW 160th,33.12,32.45,0.68,31.09,-1.36
P3,1726,Fort Lauderdale E. Commercial,32.09,31.79,0.3,29.38,-2.41
P3,1771,Miami SW 152nd St,32.14,31.57,0.58,29.7,-1.87
P3,183,Margate Atlantic,32.94,31.02,1.92,29.69,-1.33
P3,1841,Fort Lauderdale S Federal,34.29,32.57,1.71,31.34,-1.23
P3,1847,Pompano Beach,34.94,32.79,2.16,31.85,-0.94
P3,1848,Miami Kendall 107,31.88,31.27,0.6,28.6,-2.67
P3,1864,Hialeah Gardens,32.4,31.87,0.53,28.98,-2.89
P3,1891,Miami SW 137th Ave,31.71,31.36,0.35,28.93,-2.43
P3,1954,Miami N. Kendall Dr,31.63,31.6,0.02,28.89,-2.71
P3,1972,Miami 40th St,31.19,30.46,0.73,27.92,-2.54
P3,2013,Palm Springs,34.84,32.1,2.74,31.48,-0.62
P3,2042,Miami Flager,32.64,31.9,0.74,29.28,-2.62
P3,2048,Coral Springs,34.21,31.56,2.64,30.91,-0.65
P3,205,Lauderhill Oakland Park,32.33,31.53,0.8,29.94,-1.59
P3,2118,Naranja,31.4,31.26,0.14,28.88,-2.38
P3,2290,Pembroke Pines N Flamingo Rd,33.14,32.52,0.62,29.97,-2.55
P3,2497,Royal Palm Beach,32.74,31.63,1.11,30.32,-1.31
P3,2602,Doral,33.38,32.22,1.16,31.04,-1.18
P3,2627,Shoma Hialeah,31.85,31.37,0.48,28.17,-3.2
P3,2696,Okeechobee Jog,36.25,34.01,2.24,33.22,-0.79
P3,2766,Miami SW 40th St.,33.56,32.86,0.7,29.86,-3.0
P3,2885,Lantana Rd.,36.7,34.05,2.65,33.17,-0.88
P3,2890,119th Plaza,33.89,33.08,0.81,33.69,0.61
P3,2893,Winwood Ghost,32.09,32.19,-0.1,34.97,2.78
P3,2974,Delray Beach,33.25,31.74,1.51,30.57,-1.17
P3,2976,Weston,32.5,31.16,1.34,30.36,-0.8
P3,3013,Quail Roost Dr.,31.73,32.4,-0.66,28.88,-3.52
P3,3200,Jupiter,33.87,32.25,1.62,33.12,0.87
P3,3317,Westwinds of Boca,-8.96,1.91,-10.88,97.98,96.07
P3,346,Miami Old Cutler,32.64,32.26,0.39,29.89,-2.37
P3,4032,Airpark Plaza,32.16,31.6,0.56,31.47,-0.13
P3,420,Deerfield,32.95,32.23,0.71,30.17,-2.06
P3,79,Plantation W Sunrise,33.08,31.7,1.38,30.53,-1.17
P3,871,Florida City,30.63,31.52,-0.9,28.43,-3.09
P3,883,Hallandale Beach,32.27,31.75,0.52,28.98,-2.77
P4,1096,Tamarac,32.31,31.05,1.25,31.56,0.51
P4,1167,Pembroke Pines Pines Blvd,31.86,31.03,0.83,30.7,-0.33
P4,1252,Fort Lauderdale Broward Blvd,30.97,30.89,0.08,30.11,-0.78
P4,1677,Palmetto Bay SW 160th,32.74,32.19,0.55,31.46,-0.73
P4,1726,Fort Lauderdale E. Commercial,31.16,30.96,0.2,30.05,-0.91
P4,1771,Miami SW 152nd St,31.19,31.48,-0.29,30.57,-0.91
P4,183,Margate Atlantic,31.81,31.22,0.59,30.92,-0.3
P4,1841,Fort Lauderdale S Federal,33.68,32.51,1.18,32.69,0.18
P4,1847,Pompano Beach,33.57,33.09,2.48,34.47,1.38
P4,1848,Miami Kendall 107,31.68,31.32,0.36,30.56,-0.76
P4,1864,Hialeah Gardens,31.43,31.23,0.19,30.18,-1.05
P4,1891,Miami SW 137th Ave,32.67,32.27,0.4,31.89,-0.38
P4,1954,Miami N. Kendall Dr,30.96,31.55,-0.59,30.42,-1.13
P4,1972,Miami 40th St,31.18,30.94,0.24,30.29,-0.65
P4,2013,Palm Springs,32.96,31.41,1.55,32.55,1.14
P4,2042,Miami Flager,33.58,32.84,0.74,32.6,-0.24
P4,2048,Coral Springs,35.1,32.89,2.21,34.46,1.57
P4,205,Lauderhill Oakland Park,33.26,31.61,1.65,32.61,1.0
P4,2118,Naranja,30.22,30.56,-0.34,29.62,-0.94
P4,2290,Pembroke Pines N Flamingo Rd,32.7,32.23,0.47,31.91,-0.32
P4,2497,Royal Palm Beach,34.37,32.55,1.81,33.91,1.36
P4,2602,Doral,33.82,32.15,1.7,33.89,1.74
P4,2627,Shoma Hialeah,31.69,31.09,0.6,30.96,-0.13
P4,2696,Okeechobee Jog,36.59,33.57,3.02,35.39,1.82
P4,2766,Miami SW 40th St.,32.87,32.66,0.21,31.76,-0.9
P4,2885,Lantana Rd.,34.17,33.69,0.48,33.27,-0.42
P4,2890,119th Plaza,33.89,33.39,0.49,34.15,0.76
P4,2893,Winwood Ghost,33.68,33.16,0.52,33.17,0.01
P4,2974,Delray Beach,31.99,31.63,0.36,30.64,-0.99
P4,2976,Weston,40.74,36.07,4.66,40.28,4.21
P4,3013,Quail Roost Dr.,32.3,32.55,-0.25,31.7,-0.85
P4,3200,Jupiter,34.01,33.54,0.48,33.53,-0.01
P4,3317,Westwinds of Boca,27.16,26.46,0.7,27.02,0.56
P4,346,Miami Old Cutler,33.05,32.65,0.4,31.64,-1.01
P4,4032,Airpark Plaza,31.86,31.18,0.68,31.48,0.3
P4,420,Deerfield,33.11,33.02,0.09,32.09,-0.93
P4,79,Plantation W Sunrise,33.34,32.04,1.3,32.54,0.5
P4,871,Florida City,30.35,31.04,-0.69,29.79,-1.25
P4,883,Hallandale Beach,31.81,31.39,0.43,30.79,-0.6
