Period,Start Date,End Date,District,Store No,Store Name,Sales Forecast,Hours Guide
P5W3,5/10/2026,5/16/2026,District 6,3317,Boca Raton,20969,321
P5W4,5/17/2026,5/23/2026,District 1,346,Miami Old Cutler Road,28379,373
P5W4,5/17/2026,5/23/2026,District 1,871,Florida City,46018,524
P5W4,5/17/2026,5/23/2026,District 1,1677,Palmetto Bay SW 160th,25716,353
P5W4,5/17/2026,5/23/2026,District 1,1771,Miami SW 152nd St,29993,385
P5W4,5/17/2026,5/23/2026,District 1,2118,Naranja,51218,561
P5W4,5/17/2026,5/23/2026,District 1,3013,Quail Roost Dr,23150,335
P5W4,5/17/2026,5/23/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,20187,312
P5W4,5/17/2026,5/23/2026,District 2,1891,Miami SW 137th Ave,29543,385
P5W4,5/17/2026,5/23/2026,District 2,1972,Miami 40th St,48456,539
P5W4,5/17/2026,5/23/2026,District 2,2627,Hialeah Drive,29793,390
P5W4,5/17/2026,5/23/2026,District 2,2766,Miami SW 40th Street,19773,312
P5W4,5/17/2026,5/23/2026,District 2,4032,Airpark Plaza,30798,398
P5W4,5/17/2026,5/23/2026,District 3,1864,Hialeah Gardens,31857,405
P5W4,5/17/2026,5/23/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,36350,440
P5W4,5/17/2026,5/23/2026,District 3,2042,Miami Flagler,32045,410
P5W4,5/17/2026,5/23/2026,District 3,2602,Doral,21762,323
P5W4,5/17/2026,5/23/2026,District 3,2890,North Miami NW 119 Street,35943,436
P5W4,5/17/2026,5/23/2026,District 3,2893,Wynwood,35766,436
P5W4,5/17/2026,5/23/2026,District 4,205,Lauderhill Oakland Park,53518,581
P5W4,5/17/2026,5/23/2026,District 4,420,Deerfield,29183,385
P5W4,5/17/2026,5/23/2026,District 4,883,Hallandale Beach,41964,490
P5W4,5/17/2026,5/23/2026,District 4,1252,Fort Lauderdale Broward Blvd,46614,528
P5W4,5/17/2026,5/23/2026,District 4,1726,Fort Lauderdale E. Commercial,29799,390
P5W4,5/17/2026,5/23/2026,District 4,1841,Fort Lauderdale S Federal,36530,443
P5W4,5/17/2026,5/23/2026,District 4,1847,Pompano Beach,35845,436
P5W4,5/17/2026,5/23/2026,District 5,79,Plantation W Sunrise,48033,539
P5W4,5/17/2026,5/23/2026,District 5,183,Margate Atlantic,44424,509
P5W4,5/17/2026,5/23/2026,District 5,1096,Tamarac,43273,501
P5W4,5/17/2026,5/23/2026,District 5,1167,Pembroke Pines Pines Blvd,40296,477
P5W4,5/17/2026,5/23/2026,District 5,2048,Coral Springs,39736,467
P5W4,5/17/2026,5/23/2026,District 5,2290,Flamingo Pines,24966,347
P5W4,5/17/2026,5/23/2026,District 5,2976,Weston,23652,339
P5W4,5/17/2026,5/23/2026,District 6,2013,Palm Springs,26471,362
P5W4,5/17/2026,5/23/2026,District 6,2497,Royal Palm Beach,32886,408
P5W4,5/17/2026,5/23/2026,District 6,2696,Okeechobee Jog,25054,356
P5W4,5/17/2026,5/23/2026,District 6,2885,Lantana,21918,328
P5W4,5/17/2026,5/23/2026,District 6,2974,Delray,28016,378
P5W4,5/17/2026,5/23/2026,District 6,3200,Jupiter,18960,299
P5W4,5/17/2026,5/23/2026,District 6,3317,Boca Raton,21397,325
P6W1,5/24/2026,5/30/2026,District 1,346,Miami Old Cutler Road,28858,378
P6W1,5/24/2026,5/30/2026,District 1,871,Florida City,46448,524
P6W1,5/24/2026,5/30/2026,District 1,1677,Palmetto Bay SW 160th,26098,357
P6W1,5/24/2026,5/30/2026,District 1,1771,Miami SW 152nd St,30808,393
P6W1,5/24/2026,5/30/2026,District 1,2118,Naranja,51012,561
P6W1,5/24/2026,5/30/2026,District 1,3013,Quail Roost Dr,22866,331
P6W1,5/24/2026,5/30/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,20680,316
P6W1,5/24/2026,5/30/2026,District 2,1891,Miami SW 137th Ave,30206,389
P6W1,5/24/2026,5/30/2026,District 2,1972,Miami 40th St,47955,535
P6W1,5/24/2026,5/30/2026,District 2,2627,Hialeah Drive,30006,394
P6W1,5/24/2026,5/30/2026,District 2,2766,Miami SW 40th Street,19390,309
P6W1,5/24/2026,5/30/2026,District 2,4032,Airpark Plaza,30541,398
P6W1,5/24/2026,5/30/2026,District 3,1864,Hialeah Gardens,32333,410
P6W1,5/24/2026,5/30/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,36625,443
P6W1,5/24/2026,5/30/2026,District 3,2042,Miami Flagler,31910,405
P6W1,5/24/2026,5/30/2026,District 3,2602,Doral,21762,323
P6W1,5/24/2026,5/30/2026,District 3,2890,North Miami NW 119 Street,35943,436
P6W1,5/24/2026,5/30/2026,District 3,2893,Wynwood,36229,440
P6W1,5/24/2026,5/30/2026,District 4,205,Lauderhill Oakland Park,53989,581
P6W1,5/24/2026,5/30/2026,District 4,420,Deerfield,28875,383
P6W1,5/24/2026,5/30/2026,District 4,883,Hallandale Beach,41984,490
P6W1,5/24/2026,5/30/2026,District 4,1252,Fort Lauderdale Broward Blvd,46245,524
P6W1,5/24/2026,5/30/2026,District 4,1726,Fort Lauderdale E. Commercial,29708,390
P6W1,5/24/2026,5/30/2026,District 4,1841,Fort Lauderdale S Federal,36542,443
P6W1,5/24/2026,5/30/2026,District 4,1847,Pompano Beach,35624,436
P6W1,5/24/2026,5/30/2026,District 5,79,Plantation W Sunrise,48135,539
P6W1,5/24/2026,5/30/2026,District 5,183,Margate Atlantic,44424,509
P6W1,5/24/2026,5/30/2026,District 5,1096,Tamarac,43596,505
P6W1,5/24/2026,5/30/2026,District 5,1167,Pembroke Pines Pines Blvd,40893,482
P6W1,5/24/2026,5/30/2026,District 5,2048,Coral Springs,40396,477
P6W1,5/24/2026,5/30/2026,District 5,2290,Flamingo Pines,25336,351
P6W1,5/24/2026,5/30/2026,District 5,2976,Weston,23612,339
P6W1,5/24/2026,5/30/2026,District 6,2013,Palm Springs,26424,362
