Period,Store No,Store Name,Store Full,SOS,Pre-Bump %,Adoption %,Make Ahead %,Waste %,Checks Passed,Checks Total,Adherence %,SOS Pass,Adoption Pass,Make Ahead Pass,Waste Pass,Pre-Bump Pass
P6W2,2696,West Palm Beach-Okeechobee Blv,2696-FL-West Palm Beach-Okeechobee Blvd,8.833333333333334,4.25531914893617,76.9230769230769,19.3950177935943,,1,4,25.0,True,False,False,,False
P6W2,2766,Miami-Bird Rd.,2766-FL-Miami-Bird Rd.,8.816666666666666,0.0,100.0,0.0,0.0,5,5,100.0,True,True,True,True,True
P6W2,2885,Lantana-W. Lantana Rd,2885-FL-Lantana-W. Lantana Rd,8.516666666666667,0.0,100.0,3.80908673703534,0.0,5,5,100.0,True,True,True,True,True
P6W2,2890,Miami-NW 199th St.,2890-FL-Miami-NW 199th St.,15.916666666666666,0.5,100.0,0.0,,3,4,75.0,False,True,True,,True
P6W2,2893,Miami-NE Miami Ct. - GK,2893-FL-Miami-NE Miami Ct. - GK,7.183333333333334,0.0,100.0,2.08631037439268,0.0,5,5,100.0,True,True,True,True,True
P6W2,2974,Delray Beach-Linton Blvd,2974-FL-Delray Beach-Linton Blvd,11.783333333333333,2.32558139534884,90.56603773584911,0.0,1.32127955493741,3,5,60.0,False,True,True,True,False
P6W2,2976,Weston-Indian Trace,2976-FL-Weston-Indian Trace,13.466666666666667,0.0,72.97297297297301,0.0,0.0,3,5,60.0,False,False,True,True,True
P6W2,3013,Miami-Quail Roost Dr,3013-FL-Miami-Quail Roost Dr,9.65,0.0,100.0,2.62778977681785,0.913520097442144,5,5,100.0,True,True,True,True,True
P6W2,3200,Jupiter-E Indiantown Rd,3200-FL-Jupiter-E Indiantown Rd,11.133333333333333,0.0,94.7368421052632,1.33155792276964,,3,4,75.0,False,True,True,,True
P6W2,3210,Miami-SW 8th Street,3210-FL-Miami-SW 8th Street,9.283333333333333,0.0,100.0,3.2603158430973,2.22412318220701,5,5,100.0,True,True,True,True,True
P6W2,3317,Boca Raton-Glades Road,3317-FL-Boca Raton-Glades Road,11.35,0.840336134453781,88.46153846153851,2.8290282902829,3.88489208633093,4,5,80.0,False,True,True,True,True
P6W2,346,Miami-Old Cutler Rd,346-FL-Miami-Old Cutler Rd,9.4,0.0,100.0,2.01300712294828,,4,4,100.0,True,True,True,,True
P6W2,4032,Miami-NW 7th St.,4032-FL-Miami-NW 7th St.,7.333333333333333,0.0,100.0,1.1111111111111098,0.0,5,5,100.0,True,True,True,True,True
P6W2,420,Deerfield Beach,420-FL-Deerfield Beach,10.2,0.0,97.9591836734694,4.01882693700217,3.22164948453608,4,5,80.0,False,True,True,True,True
P6W2,79,Plantation,79-FL-Plantation,14.466666666666667,0.0,89.7058823529412,25.3490080822924,,2,4,50.0,False,True,False,,True
P6W2,871,Florida City-Dixie Hwy,871-FL-Florida City-Dixie Hwy,10.866666666666667,0.0,92.3809523809524,0.0,,3,4,75.0,False,True,True,,True
P6W2,883,Hallandale Beach-W Hallandale ,883-FL-Hallandale Beach-W Hallandale Beach Blvd,13.083333333333334,0.0,97.2972972972973,4.20411713540157,0.0,4,5,80.0,False,True,True,True,True
